name,description,creationTime
Alaskan Husky,Autem impedit quisquam enim debitis non eveniet sed quis. Sed rerum illum explicabo. Porro numquam ut voluptatem doloribus animi. Reiciendis aut architecto dolorum ut libero aliquid dolorem reprehenderit excepturi. Id aut voluptatum tempora nihil vitae quidem. In quis sunt.,1595182042004
Basenji,Et dolores sed a unde iure molestias est fugiat. Delectus dolor labore aut. Doloremque laborum voluptas.,1584929996746
Karst Shepherd,Praesentium ut omnis corrupti facilis non id sint et. Similique et pariatur nam vero magnam.,1616662549871
Saint Bernard,Quo mollitia ut vero. Quis quaerat quidem esse eos earum corrupti fugiat commodi aut. Vel esse temporibus aut repellendus sint. A qui tempore. Aut delectus facilis architecto sint quibusdam.,1580109399395
English Cocker Spaniel,Maiores illum et enim. Cupiditate labore hic omnis voluptatem commodi molestias deleniti ut est. Delectus voluptatem earum sequi omnis alias eos placeat soluta pariatur.,1582095517386
Basset Hound,At enim eos quo fugiat voluptatem ut qui quaerat consequatur. Ad nemo voluptatum numquam voluptas dolor.,1593802897368
Alaskan Husky,Repellendus aut dolor sunt quo et qui iste dolorum at. Ut sapiente labore voluptatum. Et ducimus maxime laborum. Cupiditate incidunt aut qui ducimus sint autem sit. Doloribus magnam illum qui ut porro. Porro cupiditate illo accusamus laborum.,1598902853169
Thai Ridgeback,Reiciendis ipsam qui. Rem est ut architecto itaque culpa et ducimus eum. Eos beatae voluptatem. Quam rem quisquam eligendi et ipsum voluptate quasi perferendis. Voluptatibus doloremque ad enim sapiente quos qui beatae.,1590297721361
Patagonian Sheepdog,Voluptatem est reiciendis eligendi consequatur fugit. Eum cum iusto voluptates tempore eos. Ut est laborum. Fuga temporibus nostrum optio qui voluptatem. Sequi exercitationem vel ea iure quis aut odit aperiam hic.,1607698073062
French Spaniel,Nobis iusto fugiat aliquam odio. Reiciendis id et repellat commodi voluptate eaque nobis amet tenetur. Nulla consectetur quia numquam distinctio quidem quam cumque facilis. Optio magnam ipsam porro. Rerum et ipsum corporis. Quae quia veniam possimus.,1618632266192
Pyrenean Sheepdog,Voluptatibus id ipsa quis reiciendis quibusdam dolores. Quis in vitae similique voluptatem. Sapiente provident magni eum.,1609215881734
Welsh Springer Spaniel,Necessitatibus atque delectus minima labore. Rerum voluptatibus enim atque. Voluptate deserunt iste laudantium est rerum asperiores culpa ut. Repudiandae officia laborum et consequatur repellendus eius cumque quae. Rerum ducimus aperiam. Sit officia veniam ducimus sequi laudantium.,1618396078417
Wirehaired Pointing Griffon,Qui sit error accusantium illum ex reprehenderit non eos. Voluptates voluptates repellendus itaque tenetur dicta et voluptates animi. Aut est ut eligendi reprehenderit suscipit voluptatem dolorum dolorem. Et enim perferendis debitis quibusdam ullam soluta.,1599055179168
Golden Retriever,Cumque autem minima maxime rerum a corrupti. Nihil ea nam saepe eum porro ullam sunt. Qui corrupti aliquid blanditiis dolorem et.,1595133843216
Picardy Spaniel,Qui voluptas modi sed voluptatem. Velit fuga omnis odit. Quisquam maiores debitis sunt.,1611189889538
Karelian Bear Dog,Sequi quidem consectetur hic molestias ut iusto unde. Consequatur atque inventore. Explicabo dolores porro distinctio est sunt. Quos asperiores est ullam molestiae. Cum qui consequatur.,1609130019509
Ratonero Murciano de Huerta,Repudiandae temporibus sequi in aut molestiae accusantium hic dolor. Aliquid officiis et illo. Vitae praesentium maiores perspiciatis quam error rerum molestiae repudiandae laborum. Et quasi facilis eum consequatur atque non facilis rem et. Rem accusantium quo aut vero. Consequatur rerum aliquid dolor.,1597744765080
Indian Spitz,Sit quasi quidem. Quisquam et nihil repudiandae. In autem suscipit sit error esse impedit eligendi odit animi.,1598419776928
Labrador Retriever,Sapiente officiis deleniti omnis et. Sequi voluptatum facere qui ex eius ea et sequi dolor.,1600596082331
Greek Harehound,Alias voluptatum voluptates ea est aut. Qui aut doloremque voluptate modi. Officia itaque minima aut voluptatem tempora delectus quod recusandae.,1612940123041
Scottish Terrier,Ipsam voluptatem incidunt est voluptas est voluptas. Excepturi unde quidem quaerat vel. Cupiditate enim officiis perspiciatis dolores officia odit molestiae.,1579420356431
Denmark Feist,Rerum sed officia pariatur. Ut delectus culpa error voluptas ut. Et libero ullam.,1600699647163
Polish Lowland Sheepdog,Dolore non quod nihil. Accusantium nam autem excepturi perferendis nemo at voluptas optio et. Velit ut quam quam ut.,1591757829128
Norfolk Terrier,Iusto id dolores nam consequatur autem aut quo omnis. Ducimus voluptatum vel perferendis deserunt expedita illum. Magni perferendis aut illo excepturi rerum ut. Veritatis nihil dolor porro laudantium. Porro nobis est ipsam magnam autem dolores. Nobis a nostrum ipsa nam dolorem facere dolorum sint ullam.,1582303103731
Smooth Fox Terrier,Doloribus ducimus cum in omnis eos optio qui dolores. Quia inventore maiores molestias dicta illo perferendis. Provident laborum vitae sit ad voluptatem voluptate dolorum. Vel quaerat debitis et.,1594184778660
Barbet,Molestias vitae distinctio nihil. Minus laboriosam velit molestiae est aspernatur omnis voluptatem. Suscipit blanditiis odit consequatur quis consectetur et quis ut et.,1597082552295
Rottweiler,Nesciunt quasi ut porro et ab. Praesentium repudiandae tempora asperiores possimus et nam repellat aut. Porro ex et. Sed iste alias voluptas. Nisi corporis natus qui molestiae aut dolorem voluptates commodi veritatis.,1603356222820
Sussex Spaniel,Et sed eum corrupti aut. Consequatur nihil ut rerum perferendis ipsa ut nihil non aut. Voluptas ratione ipsum voluptas blanditiis id non velit eaque tempora.,1615958850104
Alapaha Blue Blood Bulldog,Non modi aut quis fugiat. Quisquam nobis qui modi id quibusdam. Tempore et dolor libero sint enim.,1581655757167
Barbado da Terceira,Ut sint ratione molestias illo qui quis. Culpa doloremque dolorum reprehenderit inventore. Delectus sit cumque vel corporis ratione tempore voluptatem qui mollitia. Quo soluta quis sapiente occaecati voluptas. Qui vero vel eos eaque et eaque. Et nisi qui quia qui excepturi dolore maxime dolorem facilis.,1596454409714
Bouvier des Flandres,Rerum omnis illum veniam aut ipsa ex. Recusandae neque id eveniet explicabo explicabo sit ut voluptatem. Occaecati et architecto rerum dolor labore corporis ut cupiditate.,1607037477309
Shar Pei,Sequi libero aut est voluptas qui. Aperiam consectetur ut. Ullam omnis odit nam consequatur. Et quisquam sunt commodi amet.,1579385562667
English Cocker Spaniel,Sed id eum et eos a. Fuga sit dignissimos fuga nostrum necessitatibus omnis magnam.,1580030030066
Pudelpointer,Reprehenderit eveniet minima debitis aut qui. Cupiditate nulla aut vel eum aut non est optio. Totam nobis explicabo nesciunt ratione laboriosam doloremque sed cupiditate. Laboriosam perspiciatis aspernatur nemo modi quisquam.,1584946408277
Saluki,Ratione in facilis in temporibus ea tempora. Fuga doloribus inventore necessitatibus qui rerum architecto. Quos qui impedit. Sunt qui consectetur sunt labore dolor. Earum velit ducimus ullam vitae autem exercitationem soluta quod quam. Perferendis qui quia et deleniti.,1601327831224
Sussex Spaniel,Aperiam aut dolorem rerum ut repellat voluptatibus vel illum omnis. Labore molestias vero laborum. Deserunt voluptatem hic neque qui qui. Commodi molestiae suscipit alias consequuntur assumenda accusantium nisi corporis vitae.,1599469573459
Chilean Terrier,Ullam dolorem ut. Ipsum maiores fugit. Atque et delectus aperiam voluptas delectus porro. Vel laborum nihil.,1616816213934
Slovenský Kopov,Magni ipsum eaque quis enim tenetur. Et voluptates voluptatum. Ut ut et libero ut quo quas voluptatum. Cupiditate facere deleniti culpa incidunt suscipit beatae natus. Sequi numquam sunt impedit eveniet laborum voluptas maxime in.,1610745455243
Russian Toy,Dolor exercitationem assumenda inventore fugit. Ut ut et.,1586015484693
Otterhound,Cupiditate et beatae corrupti quia architecto cum ullam. Et aut aut facere dolorem. Natus aut quidem sint. Laudantium molestias minima. Omnis alias necessitatibus numquam qui ea aut corporis itaque.,1600649187806
Treeing Walker Coonhound,Facere sint aut vitae tenetur maiores. Ea nemo cum illum quos fugit aperiam ipsam et id. Ea voluptatem neque sed deserunt autem voluptas. Cum voluptates est maiores. Enim cum quae saepe illo voluptatem dignissimos. Et excepturi ea velit soluta at ratione eum et eius.,1585198137670
Xoloitzcuintli,Voluptatum ratione maiores fugiat sunt facere dolores est facere officia. Distinctio et aspernatur repellendus error optio facilis facere ex et. Doloribus ipsa et ipsa eveniet. Rerum quo ad. Beatae minus placeat eius consequatur perspiciatis rerum et commodi quo.,1592131294083
Brussels Griffon,Consequatur deserunt inventore et quia aut aspernatur cumque. In et quidem. Maiores ipsum a. Qui illum veritatis atque.,1580384547104
Kai Ken,Totam quasi tenetur. Quaerat provident ut eum tenetur autem nobis totam aut repellat. Ut voluptatum laborum adipisci voluptatem nisi dolor necessitatibus cupiditate.,1613211381871
Lagotto Romagnolo,Totam optio maxime quidem. Est voluptas est aut consectetur odio quibusdam corporis. Distinctio iusto nobis reprehenderit veniam ut doloribus dicta et ea. Qui vel dolor iusto reprehenderit non quod rerum. Repellendus consequatur accusamus est.,1606844066332
American Foxhound,Provident aut sint eius tempore. Maxime nesciunt delectus minima dolor ipsam ipsa. Aliquid et nam. Similique repellendus vitae nihil non qui sint velit qui.,1593793909479
Mackenzie River Husky,Rerum aut est debitis et sint est reprehenderit ut rem. Aut aperiam numquam qui ipsum et a. Totam magni dolore quae eligendi qui qui consequuntur dolore ut.,1581986079439
Azawakh,Veritatis enim sequi. Temporibus labore laboriosam hic reprehenderit at modi. Minima eius doloremque eos sint.,1588336166504
Bouvier des Ardennes,Velit qui culpa quia voluptate est ratione ducimus dicta. Quod enim ut. Consequatur aut et est quisquam temporibus eius. Eum omnis tempora qui consequuntur. Ut facilis qui quidem. Nihil et consequuntur omnis nisi est ipsam.,1619087110641
Grand Anglo-Français Blanc et Noir,Velit quia occaecati. Itaque quo occaecati quae quas quis maiores. Accusantium qui vitae animi. Qui accusantium enim alias molestiae omnis enim vitae in. Assumenda incidunt labore.,1608979531887
Black Norwegian Elkhound,Iusto ut fugit. Quis totam sunt voluptas cupiditate ut fuga sit. In a sed quibusdam sunt consequatur.,1588860112080
Segugio Maremmano,Et quam nam voluptate. Sed quos maiores sapiente qui iste fuga est placeat quia.,1596208738236
Bolognese,Rerum amet eos nihil sit ad qui animi. Temporibus laboriosam velit ut dolor ut architecto vitae.,1605938515106
Welsh Sheepdog,Et aut voluptas mollitia esse. Doloribus velit et quia ut ut. Harum et dolorem magni. Fugit quisquam et doloremque quo ad soluta dicta aspernatur ab. Ut autem quod facere necessitatibus commodi a debitis quisquam. Est officiis quia qui.,1604458464971
Slovenský Cuvac,Ut dolor amet. Consequuntur voluptatem dolores sed dicta sit perferendis quia consequatur. Et nulla unde doloribus pariatur quae perspiciatis quaerat tempora aliquam. Velit assumenda vel. Reprehenderit consectetur et sint maiores est aliquam qui porro.,1603845672936
Dutch Shepherd,Odio ullam quidem inventore unde. Totam omnis iure et velit ut aut laudantium velit. Vitae in quod error totam qui laboriosam ut ut. Tempore unde nam. Ducimus et officiis fuga facilis ut enim alias. Doloremque dicta ducimus velit in et minima rerum.,1586654549590
English Setter,Minus id recusandae consectetur. Ut doloribus tenetur sit nesciunt. Deserunt nihil aspernatur quo laboriosam. Non dolores veniam sint numquam et est.,1581773596345
Rampur Greyhound,Doloremque nobis laborum necessitatibus repellat aperiam error aspernatur. Temporibus voluptatibus totam aliquam aliquid. Quas vitae quae et et. Pariatur enim voluptatem velit iste alias reiciendis maxime blanditiis. Qui consectetur illo ipsam ut impedit. Enim quis ducimus distinctio.,1595134943219
Italian Greyhound,Et cum optio et. Aut laboriosam distinctio illum et aliquam ea quaerat in. Nesciunt dolores quo unde. Veritatis veritatis et accusamus dolores. Nulla dicta est nobis ad necessitatibus et et ex. Est ad nisi eum est et architecto officiis laborum.,1591497246875
Jack Russell Terrier,Ad molestiae alias voluptates vel est quam quos quia. Esse ea quas veritatis ratione quae harum. Atque praesentium unde et aut inventore ratione minus. Hic reprehenderit possimus dolores. Quod in sint nam assumenda quis quia et. Quasi quas ullam ut cum sed.,1607780683768
Japanese Terrier,Et illo unde quidem in voluptatem aut et. Corrupti sit repellendus non. Dolores magni illum quisquam sed.,1580908027709
German Roughhaired Pointer,Autem saepe et nostrum aut explicabo incidunt. Nisi praesentium itaque porro temporibus in molestiae iure ducimus. Officiis in tenetur voluptate fuga voluptatem voluptatem vitae aut consequatur.,1617253092418
Chinook,Quia sunt impedit voluptas cumque. Veniam aut ea exercitationem impedit dolores molestiae. Officiis voluptatem voluptatum occaecati ut. Et quis perspiciatis quia et autem rerum incidunt.,1595420572058
American Staffordshire Terrier,Qui voluptate nihil voluptas dolorem est vel. Provident odit maxime non magnam sunt est. Iste possimus fugit beatae sed explicabo a sit minima eos. Sit quo quia tempora repellat. Qui nulla ex vitae ea aut consequatur vero necessitatibus sed. Quasi velit omnis recusandae sapiente fugiat explicabo sit.,1602450625275
Small Greek domestic dog,Velit cupiditate aut in a. Rerum magnam consequatur dolorum amet aperiam aliquid sed provident blanditiis. Harum qui modi qui optio dolore. Voluptas eaque rem aspernatur voluptas reprehenderit accusantium ipsum. Reprehenderit iusto quia ad.,1592696612634
Alano Español,Eos recusandae est. Necessitatibus error amet atque quia provident voluptatibus. Autem consequuntur blanditiis. Soluta odit vero quae facilis amet non. Nesciunt est quia et suscipit quibusdam labore mollitia.,1618995877321
Pyrenean Sheepdog,Aliquam soluta adipisci exercitationem culpa corrupti sed ea repellendus dolorem. Rerum omnis inventore velit provident et recusandae ea vel. Commodi soluta enim rem saepe perspiciatis. Fugit porro iusto. Ad laudantium quae dolores quia. Unde et accusantium quia dicta minima.,1579042079404
Great Dane,Fugiat vel distinctio dicta porro at earum aut ab quis. Iusto ut iste eum maiores reprehenderit saepe et ut voluptate. Qui quia delectus animi voluptatem pariatur tempore voluptate est cumque. Sit sapiente iure. Mollitia ut voluptatem eum ut quaerat tenetur voluptatem. Nihil eos dolorum minus ab et provident illum.,1581217365254
Cão de Gado Transmontano,Tempore placeat itaque est sit eligendi. Libero voluptate iure iure. Est iusto et voluptatum eius porro.,1595859306469
Scottish Terrier,Consequuntur a eligendi recusandae eos qui dolores ullam. Eum impedit id molestiae beatae odit sint debitis. Labore eveniet sed ipsum qui labore aut. Qui voluptatum quia non eum exercitationem voluptates odit ut. Quia odio eum. Sapiente aut necessitatibus nam omnis esse cum.,1604520078646
Papillon,Exercitationem amet perspiciatis dolores nobis. Sequi itaque quia possimus qui cum neque recusandae in. Atque illo sapiente fugiat ut unde ut. Sit veniam vitae sint iure numquam odit quia repellat. Illo consequuntur quibusdam.,1593239682240
Redbone Coonhound,Soluta voluptatem rerum harum. Nisi repellendus dolores praesentium tempore et optio error. Culpa magni consequatur eligendi placeat et et.,1586866440053
Shar Pei,Provident deleniti sequi cupiditate ducimus ullam quo in. Quo est labore qui. Ea aliquid vero eaque nisi velit vel ea iusto voluptatem.,1582942375400
Havanese,In quos et error saepe enim magnam. Quasi quidem aut explicabo sed totam sunt. Sint a eius dolorem ea ut quaerat reiciendis est. Qui quas asperiores neque earum quidem sint sit quos dolorem.,1601008797717
Dogo Guatemalteco,Eos voluptates odio adipisci in aut sint corrupti. Laboriosam expedita in numquam assumenda quibusdam explicabo expedita assumenda vel. Quia qui optio aspernatur earum facilis nobis accusantium quis autem.,1597393086029
Beauceron,Commodi debitis similique quo asperiores ea. Provident sunt voluptas aliquam. Molestiae quia quibusdam id delectus a labore.,1585271321929
Indian Spitz,Minima ratione dicta consectetur repellat. Modi rerum ut omnis et. Veniam nihil ipsam sit voluptatibus at. Quia aut voluptatem ipsam ut magni corporis dolorem qui. Suscipit id unde quas dolores ea minima accusamus. Est nesciunt expedita eos quis modi dolores asperiores.,1595583847727
Xiasi Dog,Ab eveniet magni numquam qui impedit tempore consequatur. Non est molestias dolor commodi. Praesentium voluptatem tempora iusto sint cum ex nesciunt.,1588922179885
Smalandstövare,Deleniti cum aut in assumenda sunt inventore. Et est a ipsum ducimus. Ipsam quia voluptas recusandae aut. Ut ab at ullam tempora blanditiis aspernatur. Quis ut mollitia accusantium ex tenetur et assumenda.,1587523985424
Croatian Sheepdog,Accusantium alias sapiente aut aut error voluptatem autem voluptatem. Veritatis consectetur eos et vel autem est harum neque deleniti. Nam impedit architecto necessitatibus architecto est excepturi perspiciatis commodi aspernatur. Distinctio excepturi velit perferendis.,1604834308061
Hokkaido,Ut atque cum aspernatur unde. Minus tempore voluptatem veniam laborum.,1607294536027
Alano Español,Enim perspiciatis incidunt voluptas labore. Consectetur sunt quia quo enim reiciendis corporis. Rerum id vel.,1601766598477
Serbian Tricolour Hound,Ad ipsam sed consequatur nihil et sed aut. Quia blanditiis excepturi. Nihil velit et. Repellendus rerum amet beatae aliquid sit eum. Architecto itaque minus dolorem eos labore. Culpa ut saepe deserunt ea voluptatum dolores ut et itaque.,1589071008141
Australian Kelpie,Nulla voluptatem velit voluptas labore rerum aliquam numquam sapiente hic. Illum libero voluptas in quae soluta ut. Delectus debitis optio.,1587048285469
Chinese Chongqing Dog,Eos occaecati ut facere id totam. Repellat et beatae natus doloremque et accusantium quam illo qui. Quos officiis animi. Deleniti et delectus reprehenderit omnis dolorum quae ea.,1582912841303
Ariegeois,Id perferendis et quas quia et dolorem. Excepturi voluptas occaecati mollitia ducimus. Numquam et et adipisci cum assumenda ipsam.,1584830437495
German Pinscher,Ut voluptatibus fuga aliquam dolore provident. Rerum et natus vel asperiores dolores. Aut quam recusandae est pariatur architecto animi consequatur est. Hic qui ipsa et eos vel velit qui vel qui. Sint eum omnis optio placeat veniam.,1614446969428
