name,description,creationTime
Dandie Dinmont Terrier,Nulla asperiores sequi maxime consectetur vitae necessitatibus similique eos. Temporibus est et quis sed iure animi autem. Labore unde voluptates error nihil mollitia.,1601165255387
Segugio Italiano,Quod molestias non tempora rem voluptas. Ipsum corrupti sed commodi rerum reprehenderit qui eligendi totam. Ut earum aliquam aliquam. Eum voluptas delectus consectetur laudantium nam modi error. Error ad nihil sint est. Possimus quia quod libero qui sint ullam.,1606420343943
Chow Chow,Et quia accusantium. Voluptas expedita debitis voluptatem sunt a ipsam. Tempore sequi est rerum mollitia possimus doloremque.,1590971369091
Spanish Water Dog,Libero error eius. Voluptate quas ea dolores dolor veniam aut officiis autem voluptatem. Nihil dolorum eum aliquid recusandae. Quaerat qui eaque aut delectus rerum adipisci provident ipsum. Magnam similique officia ut dicta consequatur recusandae.,1602091092779
Colombian fino hound,Qui maxime et ea. Et magnam cum. Qui minima nihil qui sit cum rerum occaecati autem quaerat. Quibusdam iusto dolorem facere quia voluptatem atque. Incidunt atque soluta optio accusantium aliquid provident. Enim voluptatem modi.,1584976784390
Basset Artésien Normand,Deserunt quia et aut dolores atque. Eos aut numquam nulla. Dignissimos hic delectus vero sint voluptatum.,1606852430669
Parson Russell Terrier,Hic assumenda quo animi et voluptatem amet expedita. A beatae molestiae quas omnis eos. Eos quibusdam ratione id ipsum cum error. Expedita aliquid impedit veritatis natus dolores sequi dolor dolorem consequatur.,1577838506160
Skye Terrier,Id consequatur enim quo eligendi laboriosam error. Omnis unde laborum in et laudantium dolorum et non pariatur. Et rerum alias eveniet eos quae nostrum veritatis dolor. Quo aut aut expedita aut eos omnis.,1615746748206
Pshdar Dog,Alias cum aut qui eveniet aspernatur sequi quia quis assumenda. Dolor eum architecto recusandae sapiente laudantium voluptas ut quo nulla. Quam voluptas nihil. Modi corrupti reprehenderit asperiores eaque optio est quia.,1590332477426
Molossus of Epirus,Consequatur labore fugit. Iste eos molestiae quo quia aut voluptatem et.,1588004585192
Dogo Argentino,Eaque perspiciatis et accusantium consequatur omnis deserunt sit expedita sit. Aspernatur incidunt culpa harum ut tenetur fuga quod. Quia voluptatem est consequuntur.,1611243237040
Polish Greyhound,Fuga neque quasi voluptatem aut et consequatur eligendi est laboriosam. Doloremque eligendi neque porro fugit quia et in dolore.,1603806385505
Sussex Spaniel,Cupiditate ipsam qui enim eveniet. Aliquam doloribus quae occaecati accusamus est sed modi cupiditate. Commodi et iste beatae dolores voluptatem veritatis voluptatibus.,1589295247268
Galician Shepherd Dog,Aliquid reiciendis sit nostrum explicabo voluptatem consequatur. Autem provident quo veniam. Et ratione est non est commodi ipsam sint facilis. Reprehenderit aspernatur numquam nemo rerum quia. Accusantium ut et fugiat. Ex voluptas pariatur possimus iste ullam et quos.,1589759387305
Bavarian Mountain Hound,Veritatis esse ut eos quo numquam. Assumenda perferendis ratione et a ipsum. Tempora nihil eum ullam veniam tempore minus doloremque optio tempore. Quos aut mollitia a. Repellat consectetur animi odit. Necessitatibus facilis amet et sit.,1597055203709
Russo-European Laika,Reiciendis enim nostrum dignissimos facere aut aut consequatur assumenda. Veniam ut exercitationem. Nam laudantium cupiditate. Reprehenderit et minus quasi placeat et non beatae eaque.,1588725056995
Carolina Dog,Rerum voluptatem quis. Accusantium praesentium facere. Omnis mollitia ut ex ratione et omnis eum. Ut quaerat omnis. Ut mollitia est dolorem aliquid neque voluptatem eos inventore.,1609650162125
English Foxhound,Exercitationem sit autem consequatur dolorem aspernatur. Quisquam eum est repellendus voluptates vel. Aspernatur voluptatem dolor magnam. Tenetur consequuntur minus laborum nulla doloribus laborum ut natus. Incidunt suscipit voluptate recusandae. Ea quod veritatis necessitatibus.,1589593358404
Carea Castellano Manchego,Qui sunt quia consequuntur optio quae. Qui id repellat rerum sunt sed beatae dolor.,1618612951856
Mahratta Greyhound,Non eum ut qui aliquam et qui facilis. Dolore odit id molestias nemo occaecati quibusdam.,1593298572847
Podenco Canario,Veritatis aspernatur optio provident distinctio et rem mollitia. Ab vitae dolores temporibus. Explicabo eaque aut deleniti sed porro qui et dolor.,1579277625922
Bosnian Coarse-haired Hound,Sunt eos mollitia ipsa deserunt est praesentium iste. Eius quia maiores mollitia. Nisi et delectus repellendus animi quia. Ut velit cum reiciendis voluptate. Velit occaecati earum aut ut qui.,1578364609283
Ibizan Hound,Nesciunt ratione dolorem voluptate eveniet ea tenetur cumque. Facere culpa consequatur ad sint et qui ea.,1588048723829
Šarplaninac,Vitae magnam accusantium officiis ipsum eos quisquam accusantium omnis. Provident et explicabo vel sed sit natus molestias officia officia. Porro nisi consequatur officia ipsam. Accusamus debitis at ullam impedit quia.,1586706691759
Armenian Gampr dog,Culpa est rerum. Debitis laudantium blanditiis rerum quas molestiae ut consequatur et.,1595607052968
Dandie Dinmont Terrier,Non enim eos consequuntur. Velit magni quam enim et numquam qui ducimus architecto culpa.,1582761243032
Sapsali,Fugiat possimus adipisci maiores culpa fuga. Veniam pariatur qui neque sunt. Eum velit quas ea. Quo qui dolore similique et et consequuntur hic est tempore.,1592334810803
Canaan Dog,Accusamus dolorem explicabo nam. Vero modi facilis assumenda explicabo fugiat. Voluptatem repellat dolores ut voluptas velit.,1618508797243
Saint-Usuge Spaniel,Sint delectus doloribus nemo. Recusandae quaerat voluptatibus sunt velit debitis. Ab aut beatae voluptatibus. Voluptas quo suscipit in sit numquam iste enim non assumenda.,1603079484811
Tibetan Mastiff,Odio blanditiis ea totam voluptatem. Et aut consequatur nihil corporis. Eius doloremque aut totam officiis quis distinctio accusantium vitae et. In est consequatur aliquam exercitationem aliquid ea. Commodi cumque minus facilis quisquam illum optio iusto. Dolor fuga fugiat fuga hic reiciendis magnam sit consectetur.,1612305164022
Carolina Dog,Nihil corrupti aspernatur similique necessitatibus aliquid quibusdam quo in cumque. Est quod magni aut.,1607251971498
Tamaskan Dog,Repudiandae consequatur quisquam nihil dolorum ut. Natus ducimus odit. Nobis vitae assumenda sed.,1607101649991
Afghan Hound,Cupiditate quae quidem quo cumque eligendi ipsam delectus magni. Soluta et aut.,1613464135482
Perro de Pastor Mallorquin,Earum voluptatum voluptatem quia minus saepe facere. Ipsam mollitia illo ea. Eligendi rerum dolores modi magnam eligendi. Quia animi voluptate ut tempora.,1613780200444
Griffon Nivernais,Et aut ipsam quasi fuga odio. Incidunt molestiae blanditiis ea aut voluptas fuga. In consequatur voluptatibus ea atque eveniet. Rem incidunt ab voluptatum.,1607942429234
White Swiss Shepherd Dog,Est numquam et veniam dolorem. Repellendus voluptas voluptas et vitae.,1601453064035
English Toy Terrier,Enim non corrupti ratione. Odit ab ipsa consequatur explicabo. Possimus incidunt sunt eveniet blanditiis incidunt.,1583625574309
Bavarian Mountain Hound,Dolore et rerum aut illum sint dolorum. Et officia et. Qui temporibus reprehenderit magnam quo aut. Voluptates reiciendis porro.,1606629497832
Welsh Terrier,Cum totam molestias velit et voluptates natus fuga. Rem molestias ut et consectetur provident sunt quo totam. Inventore ut animi qui excepturi voluptatibus nihil. A voluptas consequatur optio natus accusamus tenetur voluptatum rerum nobis.,1587944522830
Pharaoh Hound,Quidem atque qui. Illo ratione quo ea perspiciatis facilis. Laboriosam dolores odit illo suscipit facilis eveniet aut nam eveniet. Veritatis vitae excepturi. Aut minima vel. Totam et ipsum et dolores dignissimos ratione.,1587174009614
Dachshund,Quis harum possimus repellendus necessitatibus rerum ut et. Ut facilis laboriosam quo architecto. Omnis sequi dicta error ab. Sed iure distinctio quasi autem officia quia voluptates. Nam debitis quas. Neque magnam deserunt blanditiis voluptates enim sed.,1618460703775
Braque Saint-Germain,Dignissimos quidem repudiandae distinctio consequatur eum qui blanditiis ipsum consectetur. Ratione ab a et.,1605874427101
Cursinu,Quaerat error et eaque quibusdam illum. Aut sint voluptatem quo qui architecto et eos perferendis.,1596859041497
Treeing Walker Coonhound,Labore repellat fuga perspiciatis corrupti quam velit qui esse accusantium. Suscipit quo suscipit et. Quaerat eligendi exercitationem qui ea. Aut modi inventore.,1582814907705
Portuguese Pointer,Facere maiores provident et quibusdam laborum. Accusantium possimus omnis totam a qui minima alias. Enim laudantium ea dolore dolorem quibusdam sit ex voluptas. Maxime occaecati accusamus maxime. Officiis recusandae error est eos iure explicabo minus distinctio tenetur.,1612793668489
Campeiro Bulldog,Et ut quia facere qui aliquid voluptas doloribus. Tempore qui sed rerum nulla neque. Assumenda quia esse.,1613705410274
Pshdar Dog,Vel cumque vel repellendus qui aut ex. Molestiae odio et. Odit molestias eum et et recusandae nobis voluptatem accusantium veritatis. Eius aut facilis nihil sit est. Quaerat et dolores quia aut et ducimus. Inventore rem illum autem distinctio.,1594215368555
Pachon Navarro,Distinctio eos voluptatem reiciendis aspernatur. Reprehenderit cum est nam et. Unde numquam magnam molestias aperiam cupiditate voluptates facilis ipsa nobis. Non fuga minima numquam quia.,1587346862497
Schweizerischer Niederlaufhund,Ut ipsam deleniti est quas ipsam. Consequatur exercitationem facilis voluptatem odit aut quidem quis aut numquam. Dolorum cum sint est tempora molestiae minus optio modi. Odit dolorem fugiat dolorem quis. Quia non ducimus.,1611301637214
Boston Terrier,Nihil eos molestias dolor autem voluptatibus tempora in. Soluta aliquam omnis officiis doloribus voluptatem harum consectetur vel.,1590983904892
Colombian fino hound,Ut et in eaque et voluptate cumque ex esse ut. Hic assumenda repellendus minus perferendis maxime quis. Illo ipsa hic qui sit voluptas nihil. Consequatur neque et quia. Ipsa magni at modi tempore voluptate et at voluptate. At et sit sed quam delectus et iste quia aut.,1582523048844
Taigan,Vel est nemo. Ullam repellat dolor et et excepturi libero.,1606221228583
Keeshond,Ut et minima hic fugiat neque eum fugiat ipsa. Tenetur sit pariatur ad officia cupiditate laudantium enim voluptatem natus. Nobis magni magnam quis est explicabo repellat ex enim. Sint molestias nisi. Reiciendis ut laudantium ipsum quasi est pariatur nostrum. Dolores porro est dolorum.,1589580587005
Cretan Hound,Praesentium non excepturi et beatae qui minus fugit. Commodi quod dolor omnis. Et deserunt aliquid expedita id iusto ea. Ad aut ex reprehenderit qui quo. Autem soluta quo aperiam dolorum perspiciatis repudiandae.,1608032580508
Brussels Griffon,Aut neque sequi. Vitae ducimus debitis quas occaecati. Non quo sunt numquam architecto vitae dolores sit. Consequuntur et et corporis incidunt consequatur adipisci aspernatur. Ducimus natus sed. Quia eum dolorem itaque.,1594391998984
Schapendoes,Possimus eius laudantium doloribus aut ea et aliquid voluptas libero. Rerum ab esse vel nobis assumenda velit error dolor. Id quia expedita molestiae sed. Beatae unde non et tempore. Eum repudiandae quisquam. Illo quia non.,1612735448586
Kishu,Et molestiae quia et voluptatem laborum sunt ipsa ut. Qui facilis odit harum qui corporis sunt.,1593488903715
Schweizerischer Niederlaufhund,Numquam corporis et voluptas nobis. Sed unde sit aliquid error fuga ab. Et maiores est. Asperiores sit nihil autem voluptates reiciendis.,1613613243307
Bulldog,Ducimus architecto illo omnis et consequuntur sed. Natus et deleniti aliquid quo sint quam neque magnam assumenda. Fugiat tempore eaque itaque consectetur expedita esse et. Cupiditate nesciunt ex veniam vitae unde rerum commodi neque odit. Eveniet id odit labore et error ab.,1610962045049
Curly-Coated Retriever,Nulla ipsum corporis error ratione enim odio facilis ullam. Rerum sit beatae non mollitia saepe blanditiis. Voluptatem sint non nostrum.,1615361722130
Kaikadi,Ad et dolorem dolores ipsum qui rerum non. Ratione placeat molestiae consequuntur vel dolores. Suscipit ut nostrum architecto voluptatem ut expedita ratione corrupti.,1598250576026
Border Collie,Eaque beatae magni sint voluptatem sit aspernatur asperiores ipsum. Magnam sunt at quas est atque unde. Labore recusandae asperiores.,1614005390185
Borzoi,Non aut modi qui rerum. Non veniam optio sed veniam. Est voluptatibus aut neque itaque tempore autem quam consequatur. Et mollitia voluptate ipsum qui doloremque rerum.,1595701327865
Pyrenean Sheepdog,Esse sit inventore non reprehenderit fuga sed. Rem ut adipisci voluptatem. Ea ut dolorum qui eum id deserunt tenetur praesentium. Molestias doloribus quia sunt. Odio recusandae nostrum ad illum. Id neque alias velit voluptatem et placeat.,1580641163132
Cão da Serra de Aires,Quia ut officia dignissimos illum provident. Quam dolores delectus ea dignissimos aut corporis dicta soluta. Commodi distinctio impedit vero inventore ut. Cumque quia omnis dolores. Veritatis quaerat natus voluptates sunt ratione. Cumque qui nostrum sed repellendus rerum praesentium.,1606775853928
Mudi,Id sed aperiam et atque provident atque accusantium alias. Omnis porro doloribus eaque qui deserunt esse. Nihil facere dolorem sunt. Necessitatibus voluptas voluptatem. Quia rem est ut commodi. At omnis a pariatur qui.,1611874205050
Portuguese Water Dog,Beatae sunt rerum nesciunt dolore quis eum enim ea. Mollitia deserunt ea dolorem velit necessitatibus culpa.,1616628601324
Kerry Blue Terrier,Sit quia dolores et fuga. Voluptate magnam ducimus recusandae et rerum. Ducimus voluptate culpa inventore quas.,1581166129087
American Water Spaniel,Ea amet rerum repellendus repudiandae nobis. Laborum non dolore sunt repellendus velit voluptatibus aliquid dolor. Nulla neque repellat dolores voluptate temporibus recusandae. Veritatis aut dolorem et.,1603851514597
Bull Terrier,Molestiae ut rerum unde nobis rem. Cum veritatis laudantium corporis omnis laudantium. Accusantium at quis assumenda voluptate nemo et.,1589277283077
Galgo Español,Omnis voluptate veritatis dolor voluptatem ut. Sit est quidem veniam facere odio consequuntur.,1612944506618
Grand Anglo-Français Tricolore,Iusto non vero et odit omnis amet distinctio pariatur. Nulla et mollitia explicabo. Optio suscipit exercitationem. Modi expedita quae laudantium rem asperiores dicta quo qui. Pariatur quo est ea soluta qui iste ipsam.,1597698165542
Tornjak,Repellat illo reprehenderit saepe molestiae blanditiis incidunt magnam alias hic. Repudiandae in perferendis ipsa dolore dolore.,1608415612990
Shih Tzu,Autem aut voluptatum aspernatur. Velit occaecati commodi. Repellendus dolore placeat qui esse facere. Reiciendis ipsam non error et pariatur ducimus incidunt eius. Ducimus rerum voluptatibus.,1595529731715
Papillon,Rem dolores recusandae. Voluptatem rerum omnis dolore et est hic molestiae doloribus occaecati.,1617770682106
Large Münsterländer,Doloremque enim magnam excepturi quo et error enim vitae velit. Ipsa molestias ullam aut delectus vel dicta recusandae qui nostrum. Occaecati dicta voluptatum modi eum possimus nemo. Nihil nihil et suscipit ab iusto cumque velit est. Ullam commodi consequuntur. Dolorem aut modi enim.,1614846773984
King Shepherd,Autem nesciunt veritatis et qui sed illo consequatur modi. Commodi reprehenderit animi est dignissimos id. Ea velit qui ipsam praesentium tempore soluta nihil consectetur quam. A minima ullam et in nulla aut voluptatum voluptatibus.,1586385728585
Afghan Hound,At ipsum quia. Dolore dolores qui eos corrupti culpa voluptas. Eligendi aut omnis omnis aperiam ipsam voluptas atque a mollitia. Impedit ipsum magnam et nostrum asperiores natus autem. Doloremque voluptate rerum enim temporibus aut. Accusantium suscipit velit ullam rerum magnam.,1616544411885
Cimarrón Uruguayo,Est dolor placeat laboriosam aut et pariatur ullam ut. Labore sequi corporis dolores.,1592492550571
Kokoni,Fugiat quidem quia omnis repellendus est magnam ea in ratione. Eaque ipsam quibusdam ut voluptatem et et et perspiciatis ad. Aut accusantium molestias hic facere.,1612532631504
Catalan Sheepdog,Non voluptates et impedit. Molestiae autem quaerat quia aut voluptatem laborum. Consequatur dolore eveniet. Non blanditiis quibusdam vel nesciunt iste similique. In et aut ipsum doloribus. Ut nobis quia beatae voluptatem voluptas labore qui at ut.,1611216339811
Slovakian Wirehaired Pointer,Nobis quam ullam molestiae libero et occaecati. Est accusantium iste excepturi aut labore nam.,1611793517679
Pekingese,Quam alias eius autem quo earum. Sed maxime sed voluptatum quis. Aut nesciunt quia voluptatem tempora consequuntur est aut a et. Voluptatibus quas in illum quae qui. Voluptatibus dicta nostrum corrupti voluptatem. Neque modi nemo maxime voluptas ut laboriosam et velit.,1614562858393
Border Collie,Id amet ducimus aut. Repellat est repellat quisquam voluptatem aut. Ut doloribus voluptatem cum libero.,1600521537979
Hokkaido,Explicabo quas placeat est. A aliquam consequuntur autem maxime aperiam aut quae perspiciatis. Quis sed dolorum excepturi. Sint iure nulla veritatis sunt autem sapiente porro quia. Voluptas earum cumque et aut tempore omnis.,1582253035693
Saint Hubert Jura Hound,Ut mollitia quasi et eligendi vel molestiae laboriosam rem nemo. Aliquid at minima assumenda fugit distinctio esse. Qui illum et nesciunt harum harum iusto aut.,1614846160671
Romanian Raven Shepherd Dog,Ex impedit omnis id ex omnis cupiditate placeat dolor et. Iure qui qui dicta.,1600452124256
New Guinea Singing Dog,Maxime rerum laudantium ullam aut amet impedit quia. Vel enim perferendis ut. Sed nihil minima ad. Quaerat qui distinctio ipsam qui. Non aut id est laudantium et asperiores.,1582649316452
Black Norwegian Elkhound,Non quia vel harum illum. Magnam quidem sed reiciendis aut harum autem. Error alias est consequuntur. Fugit ad id. Dolorem nemo in ut ab rerum omnis.,1591354686253
Saint-Usuge Spaniel,Sunt qui et numquam inventore labore sunt. Quis eum et voluptatem fugiat dignissimos sit incidunt officia. Qui ullam sint voluptas inventore eos veritatis accusamus. Iure debitis quis. Mollitia rerum optio nulla nam assumenda blanditiis sit consequatur dolorem. Atque quas quibusdam soluta beatae voluptate eos dolorum.,1596733849759
